model,anchor,input_tokens,output_tokens,energy_min_wh,energy_mid_wh,energy_max_wh
gpt-4.1,100in_300out,100,300,0.569,0.871,1.173
gpt-4.1,1k_in_1k_out,1000,1000,2.646,3.161,3.676
gpt-4.1,10k_in_1.5k_out,10000,1500,4.183,4.833,5.483
gpt-4.1-mini,100in_300out,100,300,0.369,0.450,0.531
gpt-4.1-mini,1k_in_1k_out,1000,1000,1.334,1.545,1.756
gpt-4.1-mini,10k_in_1.5k_out,10000,1500,1.774,2.122,2.470
gpt-4.1-nano,100in_300out,100,300,0.160,0.207,0.254
gpt-4.1-nano,1k_in_1k_out,1000,1000,0.467,0.575,0.683
gpt-4.1-nano,10k_in_1.5k_out,10000,1500,0.733,0.827,0.921
o4-mini-high,100in_300out,100,300,2.181,3.649,5.117
o4-mini-high,1k_in_1k_out,1000,1000,5.203,7.380,9.557
o4-mini-high,10k_in_1.5k_out,10000,1500,5.563,7.237,8.911
o3,100in_300out,100,300,0.953,1.177,1.401
o3,1k_in_1k_out,1000,1000,3.046,5.153,7.260
o3,10k_in_1.5k_out,10000,1500,11.140,12.222,13.304
o3-mini-high,100in_300out,100,300,2.021,3.012,4.003
o3-mini-high,1k_in_1k_out,1000,1000,5.535,6.865,8.195
o3-mini-high,10k_in_1.5k_out,10000,1500,4.206,5.389,6.572
o3-mini,100in_300out,100,300,0.659,0.674,0.689
o3-mini,1k_in_1k_out,1000,1000,2.186,2.423,2.660
o3-mini,10k_in_1.5k_out,10000,1500,3.357,3.525,3.693
o1,100in_300out,100,300,1.614,2.268,2.922
o1,1k_in_1k_out,1000,1000,3.550,4.047,4.544
o1,10k_in_1.5k_out,10000,1500,5.304,6.181,7.058
o1-mini,100in_300out,100,300,0.353,0.535,0.717
o1-mini,1k_in_1k_out,1000,1000,1.142,1.547,1.952
o1-mini,10k_in_1.5k_out,10000,1500,1.787,2.317,2.847
claude-3.7-sonnet,100in_300out,100,300,0.910,0.950,0.990
claude-3.7-sonnet,1k_in_1k_out,1000,1000,2.788,2.989,3.190
claude-3.7-sonnet,10k_in_1.5k_out,10000,1500,5.369,5.671,5.973
claude-3.5-sonnet,100in_300out,100,300,0.907,0.973,1.039
claude-3.5-sonnet,1k_in_1k_out,1000,1000,3.382,3.638,3.894
claude-3.5-sonnet,10k_in_1.5k_out,10000,1500,7.427,7.772,8.117
claude-3.5-haiku,100in_300out,100,300,0.912,0.975,1.038
claude-3.5-haiku,1k_in_1k_out,1000,1000,4.181,4.464,4.747
claude-3.5-haiku,10k_in_1.5k_out,10000,1500,7.672,8.010,8.348
llama-3-8b,100in_300out,100,300,0.106,0.108,0.110
llama-3-8b,1k_in_1k_out,1000,1000,0.365,0.370,0.375
llama-3.70b,100in_300out,100,300,0.839,0.861,0.883
llama-3.70b,1k_in_1k_out,1000,1000,2.777,2.871,2.965
llama-3.1-8b,100in_300out,100,300,0.044,0.052,0.060
llama-3.1-8b,1k_in_1k_out,1000,1000,0.157,0.172,0.187
llama-3.1-8b,10k_in_1.5k_out,10000,1500,0.415,0.443,0.471
llama-3.1-70b,100in_300out,100,300,1.251,1.271,1.291
llama-3.1-70b,1k_in_1k_out,1000,1000,4.472,4.525,4.578
llama-3.1-70b,10k_in_1.5k_out,10000,1500,18.623,19.183,19.743
llama-3.1-405b,100in_300out,100,300,2.084,2.226,2.368
llama-3.1-405b,1k_in_1k_out,1000,1000,8.657,9.042,9.427
llama-3.1-405b,10k_in_1.5k_out,10000,1500,24.676,25.202,25.728
llama-3.2-1b,100in_300out,100,300,0.096,0.109,0.122
llama-3.2-1b,1k_in_1k_out,1000,1000,0.317,0.342,0.367
llama-3.2-1b,10k_in_1.5k_out,10000,1500,0.493,0.552,0.611
llama-3.2-3b,100in_300out,100,300,0.137,0.143,0.149
llama-3.2-3b,1k_in_1k_out,1000,1000,0.462,0.479,0.496
llama-3.2-3b,10k_in_1.5k_out,10000,1500,0.687,0.707,0.727
llama-3.2-vision-11b,100in_300out,100,300,0.057,0.078,0.099
llama-3.2-vision-11b,1k_in_1k_out,1000,1000,0.171,0.242,0.313
llama-3.2-vision-11b,10k_in_1.5k_out,10000,1500,1.027,1.087,1.147
llama-3.2-vision-90b,100in_300out,100,300,1.181,1.235,1.289
llama-3.2-vision-90b,1k_in_1k_out,1000,1000,4.086,4.534,4.982
llama-3.2-vision-90b,10k_in_1.5k_out,10000,1500,6.072,6.852,7.632
llama-3.3-70b,100in_300out,100,300,0.214,0.237,0.260
llama-3.3-70b,1k_in_1k_out,1000,1000,0.681,0.760,0.839
llama-3.3-70b,10k_in_1.5k_out,10000,1500,1.259,1.447,1.635
